COUNTRY_CODE,COUNTRY_TITLE,ISO_YEAR,ISO_WEEK,TRANSMISSION,TRANSMISSION_CL,TRANSMISSION_COM,SERIOUSNESS,SERIOUSNESS_CL,SERIOUSNESS_COM,IMPACT,IMPACT_CL,IMPACT_COM,ISO_SD,ISO_ED,ISOYW,ISO_YW,ISO_YW_STR,ISO2,WHOREGION,FLUREGION,FLU_SEASON,COUNTRY_ID,YEAR_ID,WEEK_ID
CAN,Canada,1996,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/21/1996,10/27/1996,199643,1996-43,199643,CA,AMR,FLU_NRT_AMR,North,280,205,86
CAN,Canada,1996,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/28/1996,11/3/1996,199644,1996-44,199644,CA,AMR,FLU_NRT_AMR,North,280,205,87
CAN,Canada,1996,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/4/1996,11/10/1996,199645,1996-45,199645,CA,AMR,FLU_NRT_AMR,North,280,205,88
CAN,Canada,1996,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/11/1996,11/17/1996,199646,1996-46,199646,CA,AMR,FLU_NRT_AMR,North,280,205,89
CAN,Canada,1996,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/18/1996,11/24/1996,199647,1996-47,199647,CA,AMR,FLU_NRT_AMR,North,280,205,90
CAN,Canada,1996,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/25/1996,12/1/1996,199648,1996-48,199648,CA,AMR,FLU_NRT_AMR,North,280,205,91
CAN,Canada,1996,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/2/1996,12/8/1996,199649,1996-49,199649,CA,AMR,FLU_NRT_AMR,North,280,205,92
CAN,Canada,1996,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/9/1996,12/15/1996,199650,1996-50,199650,CA,AMR,FLU_NRT_AMR,North,280,205,93
CAN,Canada,1996,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/16/1996,12/22/1996,199651,1996-51,199651,CA,AMR,FLU_NRT_AMR,North,280,205,94
CAN,Canada,1996,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/23/1996,12/29/1996,199652,1996-52,199652,CA,AMR,FLU_NRT_AMR,North,280,205,95
CAN,Canada,1997,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/30/1996,1/5/1997,199701,1997-01,19971,CA,AMR,FLU_NRT_AMR,North,280,206,44
CAN,Canada,1997,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/6/1997,1/12/1997,199702,1997-02,19972,CA,AMR,FLU_NRT_AMR,North,280,206,45
CAN,Canada,1997,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/13/1997,1/19/1997,199703,1997-03,19973,CA,AMR,FLU_NRT_AMR,North,280,206,46
CAN,Canada,1997,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/20/1997,1/26/1997,199704,1997-04,19974,CA,AMR,FLU_NRT_AMR,North,280,206,47
CAN,Canada,1997,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/27/1997,2/2/1997,199705,1997-05,19975,CA,AMR,FLU_NRT_AMR,North,280,206,48
CAN,Canada,1997,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/3/1997,2/9/1997,199706,1997-06,19976,CA,AMR,FLU_NRT_AMR,North,280,206,49
CAN,Canada,1997,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/10/1997,2/16/1997,199707,1997-07,19977,CA,AMR,FLU_NRT_AMR,North,280,206,50
CAN,Canada,1997,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/17/1997,2/23/1997,199708,1997-08,19978,CA,AMR,FLU_NRT_AMR,North,280,206,51
CAN,Canada,1997,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/24/1997,3/2/1997,199709,1997-09,19979,CA,AMR,FLU_NRT_AMR,North,280,206,52
CAN,Canada,1997,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/3/1997,3/9/1997,199710,1997-10,199710,CA,AMR,FLU_NRT_AMR,North,280,206,53
CAN,Canada,1997,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/10/1997,3/16/1997,199711,1997-11,199711,CA,AMR,FLU_NRT_AMR,North,280,206,54
CAN,Canada,1997,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/17/1997,3/23/1997,199712,1997-12,199712,CA,AMR,FLU_NRT_AMR,North,280,206,55
CAN,Canada,1997,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/24/1997,3/30/1997,199713,1997-13,199713,CA,AMR,FLU_NRT_AMR,North,280,206,56
CAN,Canada,1997,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/31/1997,4/6/1997,199714,1997-14,199714,CA,AMR,FLU_NRT_AMR,North,280,206,57
CAN,Canada,1997,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/7/1997,4/13/1997,199715,1997-15,199715,CA,AMR,FLU_NRT_AMR,North,280,206,58
CAN,Canada,1997,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/14/1997,4/20/1997,199716,1997-16,199716,CA,AMR,FLU_NRT_AMR,North,280,206,59
CAN,Canada,1997,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/21/1997,4/27/1997,199717,1997-17,199717,CA,AMR,FLU_NRT_AMR,North,280,206,60
CAN,Canada,1997,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/28/1997,5/4/1997,199718,1997-18,199718,CA,AMR,FLU_NRT_AMR,North,280,206,61
CAN,Canada,1997,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/5/1997,5/11/1997,199719,1997-19,199719,CA,AMR,FLU_NRT_AMR,North,280,206,62
CAN,Canada,1997,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/12/1997,5/18/1997,199720,1997-20,199720,CA,AMR,FLU_NRT_AMR,North,280,206,63
CAN,Canada,1997,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/19/1997,5/25/1997,199721,1997-21,199721,CA,AMR,FLU_NRT_AMR,North,280,206,64
CAN,Canada,1997,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/26/1997,6/1/1997,199722,1997-22,199722,CA,AMR,FLU_NRT_AMR,North,280,206,65
CAN,Canada,1997,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/2/1997,6/8/1997,199723,1997-23,199723,CA,AMR,FLU_NRT_AMR,North,280,206,66
CAN,Canada,1997,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/9/1997,6/15/1997,199724,1997-24,199724,CA,AMR,FLU_NRT_AMR,North,280,206,67
CAN,Canada,1997,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/16/1997,6/22/1997,199725,1997-25,199725,CA,AMR,FLU_NRT_AMR,North,280,206,68
